nro;altitude;country;county;latitude;localname;abs(longitude);municipality;res_org;treespecies
115086;80;Sweden;SkÃ¥ne län (Malmöhus);55.9;Källstorp, Svalöv;13.1;;Skogforsk;,Pinus sylvestris,
115089;210;Sweden;Jönköpings län;57.9;Ryfors, Mullsjö;13.8;;Skogforsk;,Pinus sylvestris,
115090;155;Sweden;Kronobergs län;56.7;Hallarp, Ljungby;13.6;;Skogforsk;,Pinus sylvestris,
115101;30;Sweden;SkÃ¥ne län (Malmöhus);55.6;Vomb;13.5;Lund;Skogforsk;,Pinus sylvestris,
115106;200;Sweden;Jönköpings län;57.5;Hok, Vaggeryd;14.2;;Skogforsk;,Pinus sylvestris,
115109;140;Sweden;Kalmar län;57.7;Norrkvill, Vimmerby;15.5;Vimmerby;Skogforsk;,Pinus sylvestris,
115119;140;Sweden;Kalmar län;57.7;Norra Kvill, Vimmerby;15.5;Vimmerby;Skogforsk;,Pinus sylvestris,
115120;140;Sweden;Kalmar län;57.7;Norra Kvill, Vimmerby;15.5;Vimmerby;Skogforsk;,Pinus sylvestris,
115122;200;Sweden;Jönköpings län;57.5;Hok, Vaggeryd;14.1;Vaggeryd;Skogforsk;,Pinus sylvestris,
115123;140;Sweden;Kalmar län;57.7;Norrkvill, Vimmerby;15.5;Vimmerby;Skogforsk;,Pinus sylvestris,
115136;210;Sweden;Jönköpings län;57.5;Bölö-Oxhagsvägen, Karlstorp, ;15.6;Vetlanda;Skogforsk;,Pinus sylvestris,
115141;80;Sweden;SkÃ¥ne län (Malmöhus);55.9;Ekebo-Skoghuset, Svalöv;13.1;;Skogforsk;,Pinus sylvestris,
115142;50;Sweden;SkÃ¥ne län (Kristianstad);55.9;Maltesholm, Kristianstad;14;;Skogforsk;,Pinus sylvestris,
115197;54;Sweden;Uppsala län;60;Sätuna SOMA;17.5;;Skogforsk;,Pinus sylvestris,
115199;54;Sweden;Uppsala län;60;Sätuna;17.5;;Skogforsk;,Pinus sylvestris,
115208;85;Sweden;Värmlands län;59.5;MogÃ¥rden;13.3;;Skogforsk;,Pinus sylvestris,
115209;55;Sweden;Värmlands län;59.4;Öjenäsmon;13.4;;Skogforsk;,Pinus sylvestris,
115210;210;Sweden;Gävleborgs län;62;GRÖNHÄLLSBERGET HASSELA;16.8;Nordanstig;Skogforsk;,Pinus sylvestris,
115211;370;Sweden;Gävleborgs län;62.1;SILVERÃ…SEN HASSELA;16.5;Nordanstig;Skogforsk;,Pinus sylvestris,
