nro;altitude;country;county;latitude;localname;abs(longitude);municipality;res_org;treespecies
115087;70;Sweden;SkÃ¥ne län (Malmöhus);55.9;Källstorp;13.1;;Skogforsk;,Picea abies,
115088;80;Sweden;SkÃ¥ne län (Malmöhus);55.9;Karatofta, Svalöv;13.1;;Skogforsk;,Picea abies,
115091;310;Sweden;Jönköpings län;57.9;Margreteholm, Mullsjö;13.8;;Skogforsk;,Picea abies,
115092;80;Sweden;SkÃ¥ne län (Malmöhus);55.9;Källstorp, Svalöv;13.1;;Skogforsk;,Picea abies,
115098;81;Sweden;SkÃ¥ne län (Malmöhus);55.9;Skognäbben;13.1;;Skogforsk;,Picea abies,
115099;70;Sweden;Hallands län;56.6;Tönnersjö;13;;Skogforsk;,Picea abies,
115100;225;Sweden;Jönköpings län;57.4;Gettinge;15.1;;Skogforsk;,Picea abies,
115102;190;Sweden;Hallands län;56.3;Ekered, Hasslöv, Laholm;12.9;Laholm;Skogforsk;,Picea abies,
115103;325;Sweden;Jönköpings län;57.5;Fredriksdal-Hulthag, Nässjö;14.6;Nässjö;Skogforsk;,Picea abies,
115105;140;Sweden;Kronobergs län;56.7;Stensnäs-Ã…viken, Ryssby, Ljung;14.1;Ljungby;Skogforsk;,Picea abies,
115107;105;Sweden;SkÃ¥ne län (Malmöhus);56;Knutstorp-Byröd, Svalöv;13.1;Svalöv;Skogforsk;,Picea abies,
115108;35;Sweden;Kalmar län;56.9;Strömsrum-HÃ¥lkärret/Idhult, M;16.2;MönsterÃ¥s;Skogforsk;,Picea abies,
115110;55;Sweden;Södermanlands län;59;Ramsjötorp, Katrineholm;16.3;Katrineholm;Skogforsk;,Picea abies,
115111;65;Sweden;Södermanlands län;59;Vallmotorp, Katrineholm;16.2;Katrineholm;Skogforsk;,Picea abies,
115121;145;Sweden;SkÃ¥ne län (Malmöhus);56;Knutstorp-Västra Ã…sskogen, Sva;13.1;;Skogforsk;,Picea abies,
115125;90;Sweden;SkÃ¥ne län (Malmöhus);55.9;Ekebo-Skognäbben, Svalöv;13.1;Svalöv;Skogforsk;,Picea abies,
115128;155;Sweden;SkÃ¥ne län (Malmöhus);55.9;Ekeröd, Hörby;13.7;Hörby;Skogforsk;,Picea abies,
115130;95;Sweden;SkÃ¥ne län (Malmöhus);55.9;Häggenäs, Hörby;13.6;;Skogforsk;,Picea abies,
115131;165;Sweden;SkÃ¥ne län (Malmöhus);56;GÃ¥larp, Dragesholm, Svalöv;13.1;;Skogforsk;,Picea abies,
115133;55;Sweden;Hallands län;56.6;Tönnersjö, Halmstad;13;Halmstad;Skogforsk;,Picea abies,
115135;85;Sweden;SkÃ¥ne län (Malmöhus);55.9;Ekebo, Svalöv;13.1;;Skogforsk;,Picea abies,
115137;80;Sweden;SkÃ¥ne län (Malmöhus);55.9;Ekebo, Svalöv;13.1;;Skogforsk;,Picea abies,
115140;185;Sweden;Jönköpings län;57.5;Övrarp, Mariannelund, Eksjö;15.6;;Skogforsk;,Picea abies,
115156;270;Sweden;Östergötlands län;57.7;Västra Ryd, Ydre;15.2;Ydre;Skogforsk;,Picea abies,
115159;270;Sweden;Östergötlands län;57.7;Västra Ryd, Ydre;15.2;Ydre;Skogforsk;,Picea abies,
115160;140;Sweden;Kronobergs län;56.5;Ã…lshult, Tingsryd;14.6;Tingsryd;Skogforsk;,Picea abies,
115161;55;Sweden;Södermanlands län;58.9;Ängtorp, Katrineholm;16.1;Katrineholm;Skogforsk;,Picea abies,
115162;80;Sweden;SkÃ¥ne län (Malmöhus);55.9;Sofielund, Svalöv;13;Svalöv;Skogforsk;,Picea abies,
115163;80;Sweden;SkÃ¥ne län (Malmöhus);55.9;Ekebo-Nils Bengtssons, Svalöv;13.1;Svalöv;Skogforsk;,Picea abies,
115168;125;Sweden;Skaraborgs län;58.4;Remningstorp, Skara;13.6;Skara;Skogforsk;,Picea abies,
115169;270;Sweden;Jönköpings län;57.7;Hult SödergÃ¥rd, SmÃ¥l. Anneber;14.8;Nässjö;Skogforsk;,Picea abies,
115170;100;Sweden;SkÃ¥ne län (Kristianstad);56;Brönnestad, Hässleholm;13.6;Hässleholm;Skogforsk;,Picea abies,
115171;80;Sweden;SkÃ¥ne län (Malmöhus);55.9;Ekebo, Svalöv;13.1;Svalöv;Skogforsk;,Picea abies,
115177;95;Sweden;SkÃ¥ne län (Malmöhus);55.9;Källstorps gÃ¥rd, Svalöv;13.1;;Skogforsk;,Picea abies,
115178;180;Sweden;Kronobergs län;57.1;Asa, Växjö;14.8;Svalöv;Skogforsk;,Picea abies,
115180;50;Sweden;Östergötlands län;58.6;Ragnetorp, FinspÃ¥ng;15.9;FinspÃ¥ng;Skogforsk;,Picea abies,
115181;95;Sweden;Hallands län;56.6;Tönnersjö-Sandtagsv. , Halmsta;13.1;Halmstad;Skogforsk;,Picea abies,
115192;270;Sweden;Östergötlands län;57.7;Västra Ryd, Ydre;15.2;;Skogforsk;,Picea abies,
115193;270;Sweden;Östergötlands län;57.7;Västra Ryd, Ydre;15.2;;Skogforsk;,Picea abies,
115194;270;Sweden;Östergötlands län;57.7;Västra Ryd, Ydre;15.2;;Skogforsk;,Picea abies,
115196;110;Sweden;Värmlands län;59.7;Bergaskogen;13.1;;Skogforsk;,Picea abies,
115198;95;Sweden;Värmlands län;59.6;Brunsberg;12.6;;Skogforsk;,Picea abies,
115200;;Sweden;Värmlands län;0;Skogsberg;0;;Skogforsk;,Picea abies,
115202;90;Sweden;Värmlands län;59.5;Grimstad, Högboda;13;;Skogforsk;,Picea abies,
115236;170;Sweden;SkÃ¥ne län (Kristianstad);55.8;Huaröd, Kristianstad;13.9;Kristianstad;Skogforsk;,Picea abies,
115243;40;Sweden;Uppsala län;60.3;Tierp;17.5;;Skogforsk;,Picea abies,
115255;150;Sweden;Västernorrlands län;63.5;PÃ¥ltorp;16.8;SollefteÃ¥;Skogforsk;,Picea abies,
115256;450;Sweden;Jämtlands län;64.4;MuruÃ¥sen;14;Strömsund;Skogforsk;,Picea abies,
115257;400;Sweden;Jämtlands län;63.5;Bränndalsbodarna;15.1;;Skogforsk;,Picea abies,
115267;200;Sweden;Västernorrlands län;63.5;Borinstorpet;16.7;SollefteÃ¥;Skogforsk;,Picea abies,
115268;225;Sweden;Västernorrlands län;63.4;BureÃ¥borg;17.7;Örnsköldsvik;Skogforsk;,Picea abies,
115280;50;Sweden;Västernorrlands län;62.7;Hemsön (Sanna-hagen);18;Härnösand;Skogforsk;,Picea abies,
115288;160;Sweden;Västernorrlands län;62.5;Ovansjö;15.5;;Skogforsk;,Picea abies,
115292;25;Sweden;Västernorrlands län;62.5;SörÃ¥ker;17.5;TimrÃ¥;Skogforsk;,Picea abies,
115296;50;Sweden;Västernorrlands län;62.1;Galtström;17.4;Sundsvall;Skogforsk;,Picea abies,
115297;150;Sweden;Västernorrlands län;63.1;Storbränna;17;SollefteÃ¥;Skogforsk;,Picea abies,
115298;200;Sweden;Västernorrlands län;63.5;Borinstorpet;16.7;SollefteÃ¥;Skogforsk;,Picea abies,
115299;390;Sweden;Västernorrlands län;63.9;Slättbränna;16.8;SollefteÃ¥;Skogforsk;,Picea abies,
115301;440;Sweden;Jämtlands län;63.4;Björkvattnet;16;Ragunda;Skogforsk;,Picea abies,
115302;75;Sweden;Västernorrlands län;63.2;Hjälta;17.1;SollefteÃ¥;Skogforsk;,Picea abies,
115303;200;Sweden;Västernorrlands län;63.5;Forsnäset;16.6;SollefteÃ¥;Skogforsk;,Picea abies,
115309;325;Sweden;Jämtlands län;64;Tannsjön (Rossön);16.6;;Skogforsk;,Picea abies,
115316;310;Sweden;Jämtlands län;63;BispgÃ¥rden;16.6;;Skogforsk;,Picea abies,
115319;10;Sweden;Västerbottens län;63.9;Sävar;20.5;;Skogforsk;,Picea abies,
115332;10;Sweden;Västerbottens län;63.9;Sävar;20.5;UmeÃ¥;Skogforsk;,Picea abies,
115339;10;Sweden;Västerbottens län;63.9;Sävar;20.5;;Skogforsk;,Picea abies,
115351;490;Sweden;Norrbottens län;65.8;Mader;19;Arvidsjaur;Skogforsk;,Picea abies,
115352;500;Sweden;Norrbottens län;65.8;Mader;19;Arvidsjaur;Skogforsk;,Picea abies,
115353;500;Sweden;Norrbottens län;65.8;Mader;19;Arvidsjaur;Skogforsk;,Picea abies,
115354;10;Sweden;Västerbottens län;63.9;Sävar;20.5;UmeÃ¥;Skogforsk;,Picea abies,
115355;265;Sweden;Västerbottens län;64.1;Kluddtjärn;20;UmeÃ¥;Skogforsk;,Picea abies,
115358;65;Sweden;Västerbottens län;63.9;Risträsk;20.6;UmeÃ¥;Skogforsk;,Picea abies,
115360;265;Sweden;Västernorrlands län;63;Östergraninge;17.2;Kramfors;Skogforsk;,Picea abies,
115361;10;Sweden;Västerbottens län;63.9;Sävar;20.5;UmeÃ¥;Skogforsk;,Picea abies,
115363;65;Sweden;Hallands län;56;Tönnersjö, Halmstad;13;Svalöv;Skogforsk;,Picea abies,
115364;180;Sweden;Kronobergs län;56.4;Hermanstorp, Växjö;15;Tingsryd;Skogforsk;,Picea abies,
115365;75;Sweden;SkÃ¥ne län (Malmöhus);55.5;Knutstorp, Svalöv;13.1;Svedala;Skogforsk;,Picea abies,
115366;75;Sweden;SkÃ¥ne län (Malmöhus);56;Knutstorp, Svalöv;13;Svalöv;Skogforsk;,Picea abies,
115367;10;Sweden;SkÃ¥ne län (Malmöhus);55.5;Lilla Hörstad, Landskrona;12.5;;Skogforsk;,Picea abies,
115368;135;Sweden;Skaraborgs län;58.3;Tiveden, Töreboda;14.1;Hjo;Skogforsk;,Picea abies,
115369;60;Sweden;Örebro län;59.3;Jönsarbo, Skinnskatteberg;15.4;Örebro;Skogforsk;,Picea abies,
115370;60;Sweden;Örebro län;59.3;Jönsarbo, Skinnskatteberg;15.5;Örebro;Skogforsk;,Picea abies,
115371;280;Sweden;Gävleborgs län;61;Kopparfors, Ã…mot;16.1;Bollnäs;Skogforsk;,Picea abies,
115372;215;Sweden;Jönköpings län;57.7;Jönköping;13.8;Tranemo;Skogforsk;,Picea abies,
115374;50;Sweden;SkÃ¥ne län (Malmöhus);56;Boserup, Bjuv;12.9;;Skogforsk;,Picea abies,
115375;50;Sweden;SkÃ¥ne län (Malmöhus);56;Boserup, Bjuv;12.9;;Skogforsk;,Picea abies,
115376;40;Sweden;Södermanlands län;59;Mälarskog, Ã…rdala, Flen;16.8;Flen;Skogforsk;,Picea abies,
115377;45;Sweden;Örebro län;59.6;Jönsarbo, Skinnskatteberg;15.9;Örebro;Skogforsk;,Picea abies,
115378;80;Sweden;Örebro län;59.6;Jönsarbo, Skinnskatteberg;15.8;Örebro;Skogforsk;,Picea abies,
115379;75;Sweden;Örebro län;59.6;Jönsarbo, Skinnskatteberg;15.9;Örebro;Skogforsk;,Picea abies,
115381;60;Sweden;SkÃ¥ne län (Malmöhus);56;Boserup, Bjuv;13;Bjuv;Skogforsk;,Picea abies,
115382;170;Sweden;Kalmar län;56.4;Läen, Emmaboda;15.2;Ronneby;Skogforsk;,Picea abies,
115383;230;Sweden;Gävleborgs län;61;Kopparfors, Ã…mot;16.3;Ockelbo;Skogforsk;,Picea abies,
115384;100;Sweden;Örebro län;59.4;Jönsarbo, Skinnskatteberg;15.5;Lindesberg;Skogforsk;,Picea abies,
115385;85;Sweden;SkÃ¥ne län (Kristianstad);56.1;Rössjöholm-Äspenäs, Ängelho;13;Ã…storp;Skogforsk;,Picea abies,
115386;85;Sweden;SkÃ¥ne län (Kristianstad);56.1;Rössjöholm-Äspenäs, Ängelho;13;Ã…storp;Skogforsk;,Picea abies,
115387;75;Sweden;SkÃ¥ne län (Kristianstad);56.1;Rössjöholm-Äspenäs, Ängelho;13;Ã…storp;Skogforsk;,Picea abies,
115388;75;Sweden;SkÃ¥ne län (Kristianstad);56.1;Rössjöholm-Äspenäs, Ängelho;13;Ã…storp;Skogforsk;,Picea abies,
115389;65;Sweden;SkÃ¥ne län (Malmöhus);56;Boserup, Bjuv;13;Bjuv;Skogforsk;,Picea abies,
115390;65;Sweden;SkÃ¥ne län (Malmöhus);56;Boserup, Bjuv;13;Bjuv;Skogforsk;,Picea abies,
115391;150;Sweden;Kronobergs län;56.3;Hult, Tingsryd;15;Ronneby;Skogforsk;,Picea abies,
115392;150;Sweden;Kronobergs län;56.3;Hult, Tingsryd;15;Ronneby;Skogforsk;,Picea abies,
115393;230;Sweden;Kronobergs län;56.5;Dalen, Kosta;15.2;Tingsryd;Skogforsk;,Picea abies,
115394;230;Sweden;Kronobergs län;56.5;Dalen, Kosta;15.2;Tingsryd;Skogforsk;,Picea abies,
115395;75;Sweden;Västmanlands län;59.4;Bubbarsbo, Skinnskatteberg;15.4;Örebro;Skogforsk;,Picea abies,
115396;75;Sweden;Västmanlands län;59.4;Bubbarsbo, Skinnskatteberg;15.4;Örebro;Skogforsk;,Picea abies,
115397;75;Sweden;Västmanlands län;59.4;Bubbarsbo, Skinnskatteberg;15.4;Örebro;Skogforsk;,Picea abies,
115398;75;Sweden;Västmanlands län;59.4;Bubbarsbo, Skinnskatteberg;15.4;Örebro;Skogforsk;,Picea abies,
115399;75;Sweden;Västmanlands län;59.4;Bubbarsbo, Skinnskatteberg;15.4;Örebro;Skogforsk;,Picea abies,
115400;75;Sweden;Västmanlands län;59.4;Bubbarsbo, Skinnskatteberg;15.4;Örebro;Skogforsk;,Picea abies,
115401;75;Sweden;Västmanlands län;59.4;Bubbarsbo, Skinnskatteberg;15.4;Örebro;Skogforsk;,Picea abies,
115402;75;Sweden;Västmanlands län;59.4;Bubbarsbo, Skinnskatteberg;15.4;Örebro;Skogforsk;,Picea abies,
115403;250;Sweden;Jönköpings län;57.4;Bottnaryd-Jära, Jönköping;13.5;Gislaved;Skogforsk;,Picea abies,
115404;250;Sweden;Jönköpings län;57.4;Bottnaryd-Jära, Jönköping;13.5;Gislaved;Skogforsk;,Picea abies,
115405;190;Sweden;Värmlands län;60.1;Billerud-Uddeholm, Ekshärad, Ha;13.3;Hagfors;Skogforsk;,Picea abies,
115406;190;Sweden;Värmlands län;60.1;Billerud-Uddeholm, Ekshärad, Ha;13.3;Hagfors;Skogforsk;,Picea abies,
115407;115;Sweden;Gävleborgs län;60.5;Kopparfors, Ã…mot;16.3;Hofors;Skogforsk;,Picea abies,
115408;115;Sweden;Gävleborgs län;60.5;Kopparfors, Ã…mot;16.3;Hofors;Skogforsk;,Picea abies,
115409;115;Sweden;Gävleborgs län;60.5;Kopparfors, Ã…mot;16.3;Hofors;Skogforsk;,Picea abies,
115410;115;Sweden;Gävleborgs län;60.5;Kopparfors, Ã…mot;16.3;Hofors;Skogforsk;,Picea abies,
115411;75;Sweden;Västmanlands län;59.4;Bubbarsbo, Skinnskatteberg;15.4;Örebro;Skogforsk;,Picea abies,
115412;75;Sweden;Örebro län;59.3;Jönsarbo, Byskogen;15.4;;Skogforsk;,Picea abies,
115413;120;Sweden;SkÃ¥ne län (Kristianstad);56.1;Rössjöholm-Högentorp, Ängelh;13;Klippan;Skogforsk;,Picea abies,
115414;75;Sweden;SkÃ¥ne län (Malmöhus);56;Boserup, Bjuv;13;Bjuv;Skogforsk;,Picea abies,
115415;70;Sweden;Värmlands län;59.3;Deje;13.2;Karlstad;Skogforsk;,Picea abies,
115416;70;Sweden;Värmlands län;59.3;Deje;13.2;Karlstad;Skogforsk;,Picea abies,
115417;70;Sweden;Värmlands län;59.3;Deje;13.2;Karlstad;Skogforsk;,Picea abies,
